seed,sample,ranking_score
1,0,0.8945341059820476
1,1,0.8887886611031466
1,2,0.8919184546461256
1,3,0.8905180884193673
1,4,0.8899731087995566
2,0,0.891021758050243
2,1,0.888656534981665
2,2,0.8931937814134014
2,3,0.8863060051186341
2,4,0.8938096186115174
5,0,0.8935688989437223
5,1,0.8909979501859899
5,2,0.8939814315876183
5,3,0.8900785392845906
5,4,0.8929208817985707
10,0,0.8933527176601584
10,1,0.8860765904127633
10,2,0.8867783339063484
10,3,0.8872142980279885
10,4,0.8907236323016527
